"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2023","72,215.94","71,341.31","72,623.52","71,180.04","103.05M","1.23%"
"08/08/2023","71,341.31","71,586.14","71,597.10","71,080.82","104.78M","-0.34%"
"08/07/2023","71,586.14","71,603.86","71,902.92","71,262.88","71.99M","-0.02%"
"08/04/2023","71,603.86","71,431.29","71,774.47","70,983.10","113.50M","0.24%"
"08/03/2023","71,431.29","71,164.44","71,431.29","70,336.00","124.07M","0.37%"
"08/02/2023","71,164.44","73,286.24","73,287.36","71,164.44","152.05M","-2.90%"
"08/01/2023","73,286.24","73,634.07","73,899.99","73,197.72","119.67M","-0.47%"
"07/31/2023","73,634.07","73,120.28","73,634.07","72,767.61","118.09M","0.70%"
"07/28/2023","73,120.28","72,871.47","73,259.98","72,629.09","110.24M","0.34%"
"07/27/2023","72,871.47","72,250.89","73,070.27","72,172.10","143.50M","0.86%"
"07/26/2023","72,250.89","72,212.09","72,350.75","71,877.74","106.15M","0.05%"
"07/25/2023","72,212.09","71,524.42","72,387.72","71,519.32","96.82M","0.96%"
"07/24/2023","71,524.42","71,578.77","71,935.56","71,272.80","75.26M","-0.08%"
"07/21/2023","71,578.77","71,806.48","71,846.29","71,460.28","66.91M","-0.32%"
"07/20/2023","71,806.48","71,859.33","72,134.76","71,619.84","98.66M","-0.07%"
"07/19/2023","71,859.33","71,858.37","72,026.85","71,566.66","89.27M","0.00%"
